name,User_Rating,Reviews,Genre_Type
Gone Girl,4,57271,Mystery
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",4,23973,Fantasy
Divergent / Insurgent,4.5,17684,Dystopian
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),4.5,20262,Romance
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),4.5,13964,Romance
Little Fires Everywhere,4.5,25706,Drama
Mockingjay (The Hunger Games),4.5,26741,Dystopian
Sycamore Row (Jake Brigance),4.5,23114,Thriller
The Guardians: A Novel,4.5,13609,Mystery
The Maze Runner (Book 1),4.5,10101,Fantasy
The Silent Patient,4.5,27536,Mystery
Winter of the World: Book Two of the Century Trilogy,4.5,10760,Historical
And the Mountains Echoed,4.3,12159,Historical
Origin: A Novel (Robert Langdon),4.3,18904,Mystery
The Handmaid's Tale,4.3,29442,Dystopian
The President Is Missing: A Novel,4.3,10191,Thriller
The Racketeer,4.3,14493,Thriller
Dear Zoo: A Lift-the-Flap Book,4.8,10922,Childrens
Giraffes Can't Dance,4.8,14038,Childrens
Harry Potter Paperback Box Set (Books 1-7),4.8,13471,Fantasy
If Animals Kissed Good Night,4.8,16643,Childrens
Love You Forever,4.8,18613,Childrens
Player's Handbook (Dungeons & Dragons),4.8,16990,Reference
The Help,4.8,13871,Historical
The Hunger Games Trilogy Boxed Set (1),4.8,16949,Dystopian
The Nightingale: A Novel,4.8,49288,Historical
The Wonky Donkey,4.8,30183,Childrens
To Kill a Mockingbird,4.8,26234,Historical
Where the Crawdads Sing,4.8,87841,Mystery
Wonder,4.8,21625,Childrens
Inferno,4.1,29651,Mystery
The Girl on the Train,4.1,79446,Thriller
A Man Called Ove: A Novel,4.6,23848,Fiction
All the Light We Cannot See,4.6,36348,Historical
Divergent,4.6,27098,Dystopian
Fahrenheit 451,4.6,10721,Dystopian
Orphan Train,4.6,21930,Historical
Ready Player One: A Novel,4.6,22536,Dystopian
The Book Thief,4.6,23148,Historical
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,4.6,11098,Christian
The Shack: Where Tragedy Confronts Eternity,4.6,19720,Christian
A Dance with Dragons (A Song of Ice and Fire),4.4,12643,Fantasy
Fifty Shades Darker,4.4,23631,Romance
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),4.4,25624,Romance
The Girl with the Dragon Tattoo (Millennium Series),4.4,10559,Thriller
The Great Gatsby,4.4,11616,Historical
"Brown Bear, Brown Bear, What Do You See?",4.9,14344,Childrens
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),4.9,12619,Graphic Novel
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",4.9,19622,Fantasy
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",4.9,10052,Fantasy
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Children’s Book)",4.9,11881,Childrens
"Oh, the Places You'll Go!",4.9,21834,Childrens
The Very Hungry Caterpillar,4.9,19546,Childrens
1984 (Signet Classics),4.7,21424,Dystopian
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,4.7,19735,Fantasy
A Gentleman in Moscow: A Novel,4.7,19699,Historical
Catching Fire (The Hunger Games),4.7,22614,Dystopian
Doctor Sleep: A Novel,4.7,15845,Thriller
The Alchemist,4.7,35799,Fantasy
The Art of Racing in the Rain: A Novel,4.7,11813,Fiction
The Fault in Our Stars,4.7,50482,Romance
The Hunger Games,4.7,32122,Dystopian
The Hunger Games (Book 1),4.7,32122,Dystopian
The Martian,4.7,39459,Science Fiction
"Twilight (The Twilight Saga, Book 1)",4.7,11676,Fantasy
